name,scholarship_type,eligible_region,description,eligibility,funding_amount,deadline,contact,application_url,source,url,data_quality_score,scrape_date
"SLCSF Scholarships in Sri Lanka, 2019",Merit-Based,Sri Lanka,"Sri Lanka – Canada Scholarship Foundation is offering scholarships to financially disadvantaged students in Sri Lanka, who continually demonstrate academic excellence. The main purpose of this program is to provide an advanced education by giving financial support and educational material to brilliant students in Sri Lanka, who are studying in grades 12 and 13. Summary","Application Deadline: June 15, 2019 Eligibility Eligible Countries: Citizens from Sri Lanka Acceptable Course or Subjects: Higher Secondary School Admissible Criteria: To be eligible for this grant,",N/A,N/A,"to this program? The program gives a great opportunity for those candidates, who have financial disa",https://scholarship-positions.com/slcsf-scholarships-in-sri-lanka/2019/05/22/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:20:39.890314
"AMDT Creative Scholarships for International Students in Sri Lanka, 2019",General,Sri Lanka,"With the aiming of promoting creative educational enrichment, the AMDT, School of Creativity is offering Scholarships for the high performing students. The call is open for applicants from Sri Lanka and all around the world, who wish to study any one of the degree-level qualifications offered at AMDT. Summary","Application Deadline: August 31, 2019 Eligibility Eligible Countries: Citizens from Sri Lanka and all around the world Acceptable Course or Subjects: Any degree-level qualifications offered by AMDT A",N/A,N/A,"How to apply: For joining this program, claimants need to be registered at any degree level at AMDT.",https://scholarship-positions.com/amdt-creative-scholarships-in-sri-lanka/2019/05/22/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:20:51.381806
"Japanese Government Postgraduate Research Scholarships for Citizens of Sri Lanka, 2020",Grant/Bursary,Sri Lanka,"Are you gazing for an opportunity to study in abroad? Here is a possibility to complete your dream! The Government of Japan is offering a golden opportunity to participate in the Postgraduate Research Scholarships. Citizens of Sri Lanka have an opportunity to study abroad inJapan. This bursary is available for those excellent students who want to pursueresearch,mastersor adoctoraldegree level program and create a bright future in their chosen field. Summary","Application Deadline: June 10, 2019 Eligibility Eligible Countries: Citizens of Sri Lanka are able to apply",N/A,N/A,"in one of the research, masters or a doctoral degree program in any field.",https://scholarship-positions.com/japanese-government-postgraduate-research-scholarships-for-citizens-of-sri-lanka/2019/05/18/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:21:04.176982
"Western Sydney International Bursary for Undergraduate or Postgraduate Courses in Australia, 2019",Talent-Based,International,"Applications are open for the Western Sydney International Bursary at the Western Sydney University. This bursary is open to international students enrolling in undergraduate or postgraduate courses in 2019. The Bursary is valued at $3,000 and will be granted as a one-off contribution towards tuition fees. It does not cover costs associated living expenses, accommodation, transport, overseas student health cover or other costs associated with the study. The Western Sydney University has been nam","Access Mode: online Numbers of Award: Not KNown Nationality: Bangladesh, Cambodia, Hong Kong, Indonesia, Japan, Laos, Malaysia, Mongolia, Myanmar, Pakistan, Philippines, Singapore, South Korea, Sri La",N/A,N/A,How to Apply: No application is necessary. All new applications for admission will be automatically,https://scholarship-positions.com/western-sydney-international-bursary-undergraduate-postgraduate-courses-australia/2018/10/31/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:21:15.573304
"CAORC Research Fellowships for US and Foreign Nationals, 2018-2019",Merit-Based,International,"The Council of American Overseas Research Centers is now accepting applications for The NEH Senior Research Fellowship Program and CAORC Multi-Country Research Fellowship for the 2018-19 academic year. This fellowship is available for US and Foreign nationals. Founded in 1981, the Council of American Overseas Research Centers (CAORC) is a private nonprofit federation of independent overseas research centers (ORCs) that promote advanced research, particularly in the humanities and social sciences",Eligibility for the Scholarship Eligible Countries: This fellowship is available for US and Foreign nationals,N/A,N/A,CAORC NEH Senior Research Fellowship,https://scholarship-positions.com/caorc-research-fellowships-us-foreign-nationals/2018/09/11/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:21:26.781334
"RMIT University India and Sri Lanka Pathways Scholarship, 2018-2019",General,Sri Lanka,"RMIT University is offering India and Sri Lanka Pathways Scholarship. The scholarship is available for international students. Indian or Sri Lanka citizen applying for credit transfer from any of the below eligible pathway partners into RMIT Undergraduate program. The scholarship will contribute AU$5,000 per year towards the annual tuition fee of the program, for a maximum of two years or total $10,000. One of Australia’s original tertiary institutions, RMIT University enjoys an international re",Indian or Sri Lanka citizen applying for credit transfer from any of the below eligible pathway partners into RMIT Undergraduate program,N/A,N/A,for this scholarship.,https://scholarship-positions.com/rmit-university-india-and-sri-lanka-pathways-scholarship-2018-2019/2018/09/01/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:21:38.568584
"Eight Fully-funded Masters Scholarships to Study in a Commonwealth Country, 2018",Need-Based,Unknown,"The Association of Commonwealth Universities is offering eight Commonwealth Masters Scholarships to allow successful applicants to study in a Commonwealth country. The University of York is a collegiate plate glass research university located in the city of York, England. Established in 1963, the campus university has expanded to more than thirty departments and centres, covering a wide range of subjects. If English is not your first language then you will need to show that your English language",Nationalities: Citizens of a Commonwealth country are eligible to apply,N/A,N/A,The mode of applying is online.,https://scholarship-positions.com/eight-fully-funded-masters-scholarships-university-of-york-uk/2018/06/19/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:21:51.387692
"OWSD PhD Fellowships for Women Scientists from Science and Technology Lagging Countries, 2019",General,Unknown,"­ Organization for Women in Science for the Developing World (OWSD) is pleased to announce Ph.D. Fellowships for Women Scientists from Science and Technology Lagging Countries to contribute to the emergence of a new generation of women leaders in science and technology. The Fellowship is offered to women scientists from Science and Technology Lagging Countries (STLCs) to undertake Ph.D. research in the Natural, Engineering and Information Technology sciences at a host institute in the South.","Eligibility for the Scholarship: Eligible Countries: Afghanistan, Angola, Bangladesh, Benin, Bhutan, Bolivia, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Rep",N/A,N/A,"To apply, the applicants must submit an online application through the link: http://onlineforms.twas",https://scholarship-positions.com/owsd-phd-fellowships-for-women-scientists-from-science-and-technology-lagging-countries/2018/04/26/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:22:05.717103
"International Baccalaureate (IB) Scholarship for South Asian Students in Australia, 2019",General,Sri Lanka,"The University of Technology Sydney is inviting applications for International Baccalaureate (IB) Scholarships. These scholarships are open to the citizen of a country in the South Asia region (Bangladesh, Nepal, India, Pakistan and Sri Lanka). This Scholarship was established by UTS to attract top achieving commencing international students who are completing the International Baccalaureate (IB) Diploma qualification from South Asia and are enrolling in an undergraduate program at UTS in Sydney","Scholarship can be taken in Australia Eligibility for the Scholarship: Eligible Countries: Citizen of a country in the South Asia region (Bangladesh, Nepal, India, Pakistan and Sri Lanka) are eligib",N/A,N/A,"for the Scholarship, an applicant must meet all of the following criteria:",https://scholarship-positions.com/international-baccalaureate-ib-scholarship-south-asian-students-australia/2018/03/06/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:22:21.332743
"Dean of Law’s Merit Scholarships at University of Tasmania in Australia, 2020",Merit-Based,Sri Lanka,"The Dean of Law’s Merit Scholarship is the most prestigious law scholarship available to international students at the University of Tasmania. The University of Tasmania (UTAS) is a public research university primarily located in Tasmania, Australia. Officially founded in 1890, it was the fourth university to be established in Australia, although Christ College, which became affiliated with the university in 1929, was established in 1846 and remains the oldest form of higher education in the cou","Scholarship can be taken in Australia Eligibility for the Scholarship: Eligible Countries: International students from India, Malaysia, Singapore and Sri Lanka are eligible to apply",N/A,13 October 2019,To apply applicants need to fill in the application form.,https://scholarship-positions.com/dean-laws-merit-scholarships-university-tasmania-australia/2018/02/27/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,83.33,2025-11-23T16:22:33.901139
"LLM Scholarships for Master Degree Programme at University of London in UK, 2020",General,Sri Lanka,"The University of London offers Up to 18 LLM Scholarship for the students of Malaysia, Pakistan, Sri Lanka, Ghana, Nigeria or Russia. These scholarships worth the value of four modules (a quarter of the LLM degree). The aim of the scholarships is to encourage the study of Law. The University of London is a collegiate and a federal research university located in London, England. The University was incorporated originally by royal charter in 1836 and is, at present, incorporated by a royal charter","Scholarship can be taken in the UK Eligibility for the Scholarship: Eligible Countries: Malaysia, Pakistan, Sri Lanka, Ghana, Nigeria or Russia Entrance Requirements: Applicants must meet followin",N/A,28 February 2020,via online mode.,https://scholarship-positions.com/llm-scholarships-university-london-uk/2018/02/03/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,83.33,2025-11-23T16:22:49.952337
Clark Graduate Bursary Fund for International Students at University of Glasgow in UK,Grant/Bursary,International,"The University of Glasgow now wishes to invite applicants for its Clark (Mile-End) Graduate Bursary Fund to pursue undergraduate, postgraduate, PhD and postgraduate research programmes. The aim of the bursary is to support graduates of the University of Glasgow or Strathclyde studying for, or applying to study for, a subsequent degree at a university in the UK or abroad. The University of Glasgow (Scottish Gaelic: Oilthigh Ghlaschu, Latin: Universitas Glasguensis) (abbreviated as Glas. in post-n","Nationality: Applicants from Afghanistan, Albania, Algeria, Andorra ,Angola, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, B",N/A,N/A,for the bursary.,https://scholarship-positions.com/clark-raduate-bursary-fund-international-students-university-of-glasgow-uk/2017/12/20/,Scholarship Positions,https://scholarship-positions.com/category/sri-lanka-scholarships/,66.67,2025-11-23T16:23:12.047924
